Class Index,Title,Description
4,JFK Reloaded Game Causes Controversy,"Game invites users to play the role of JFK's assassin, causing some observers to wonder whether video games have gone too far."
1,Cat Stevens gets peace prize,Former Soviet leader Mikhail Gorbachev honored the singer formerly known as Cat Stevens with a peace prize. Yusuf Islam was awarded the  quot;Man for Peace quot; award in Rome at the opening of a meeting of Nobel Peace Prize laureates.
4,PalmOne in Microsoft E-Mail Pact (NewsFactor),NewsFactor - Long-time rivals PalmOne (Nasdaq: PALM) and Microsoft (Nasdaq: MSFT) have announced a licensing agreement that will enable the next generation of PalmOne's Treo smartphones to work directly with Microsoft's Exchange 2003 e-mail system.
4,"Sony-BMG, Grokster deal","p2pnet.net News:- News of Mashboxx, a major deal involving Grokster, former Grokster and Blubster ceo Wayne Rosso, Sony-BMG and Shawn Fanning #39;s Snocap, is now doing the rounds."
2,=== Castillo split-decisions Casamayor ===,"Las Vegas, NV (Sports Network) - Jose Luis Castillo successfully defended his World Boxing Council lightweight championship with a split decision over Joel Casamayor at Mandalay Bay Casino in Las Vegas."
3,Microsoft Pressures EU Court on Price,"A European judge must sort through competing ideas on the balance between intellectual property and fairness to decide whether antitrust penalties against Microsoft (Quote, Chart) should be suspended."
3,"For Sprint and Nextel, the Struggle Is Ahead","which could come as early as today - they will have completed the easy part. The harder part, industry executives and analysts "
1,China #39;s Ex-Premier Resigns Military Post,"Description: Former Chinese President Jiang Zemin steps down as the head of the Chinese military, completing the first orderly handover of power in the history of the Chinese communist state."
2,"Maddux Wins No. 302, Baker Wins No. 1,000 (AP)","AP - Greg Maddux pitched the Chicago Cubs into the lead in the NL wild-card race and gave Dusty Baker a win to remember. Maddux threw seven shutout innings for his 302nd career win, Baker got his 1,000th victory as a manager and Chicago beat the Montreal Expos 5-2 on Monday night."
2,Gilchrist joins elite company,The wicket of Gautam Gambhir in the second innings of the fourth Test in Mumbai on Friday was Glenn McGrath #39;s 50th against India (in his 11th Test).
4,Firefox helping to make Web better for all,This column gets results. A few months ago I suggested that Internet users would do well to give up on Microsoft Corp. #39;s buggy and insecure Internet Explorer browser and check out some well-crafted alternatives.
2,IGF ask US #39;s Hamm to Give up the Gold,"ATHENS, Greece - The controversy over American Olympian Paul Hamm #39;s gold medal in the all-round men #39;s gymnastics has headed back into headlines as the International Gymnastics Federation (IGF) has asked Hamm to  quot;voluntarily quot; give back the medal."
3,Sinopec Profit Jumps on China Oil Demand," HONG KONG (Reuters) - Asia's top oil refiner, state-run  Sinopec Corp., said on Monday its second-quarter net profit  almost doubled as China's fast-growing economy consumed more  fuel and crude oil prices climbed."
3,"US Analyst unimpressed, Swanepoel unfazed","JOHANNESBURG (Mineweb.com) -- Harmony representatives are on the US leg of their hostile takeover tour, with shareholders from both sides attending a presentation on Thursday."
3,Dollar rises narrowly against euro,The US dollar rose slightly against the euro yesterday as the Federal Reserve raised a key interest rate by a quarter-point and the US trade deficit was larger than expected.
1,No word on trapped China miners,"About 166 miners remain trapped deep in a mine in central China, with all communications lost."
3,Colgate Cuts 2nd-Half Profit Forecast as Costs Rise (Update1),"Colgate-Palmolive Co., the world #39;s largest toothpaste maker, said second-half profit will be less than analysts #39; estimates because of higher marketing and raw material costs."
4,BlackBerry in Sync with Apple (NewsFactor),"NewsFactor - Information Appliance Associates is offering an application that links the \BlackBerry mobile e-mail platform with Mac OS X, further extending BlackBerry's considerable reach."
1, quot;Road-map quot; peace plan for Gaza Strip,"The Israeli government does not intend to honour the US-backed road map to peace in the Middle East once it has completed a planned pullout from Gaza, an Israeli newspaper reported today."
1,CIA Had Secret Detainee Area at Guantanamo (AP),"AP - The CIA once maintained a facility to hold high-value terrorism suspects at the Defense Department's prison in Guantanamo Bay, Cuba, but the location is not currently in use, according to officials with knowledge of the highly classified operations."
1,Militia to Give Up Arms Under Sadr City Plan,"Militia fighters in the Baghdad slum of Sadr City are to begin surrendering their mortars, grenades, machine guns and other weapons Monday under an accord with the interim Iraqi government, both sides announced Saturday."
2,Gone too soon,"Ken Caminiti #39;s power hitting, defensive acrobatics, and a rugged appeal that reached even nonbaseball fans made him one of San Diego #39;s premier athletes, and helped lay groundwork for a \$474 "
4,Hypersonic research craft set to fly Monday,"NASA engineers and researchers are gearing up to end a hypersonic research program with a world-record flight approaching 7,000 mph over the Pacific Ocean."
1,"Ireland, Britain resume negotiations for peace talks","Britain and Ireland resume their joint efforts this week to revive deadlocked peace talks in Northern Ireland, aiming to forge common ground between deeply opposed sectarian groups."
2, #39;Emlyn #39;s enthusiasm was unbelievable #39;,"NORWICH CITY assistant manager Doug Livermore has paid tribute to his former Liverpool team-mate Emlyn Hughes. Hughes, who skippered the great Liverpool side of the 1970s and was famed for his charisma and "
3,Genentech Receives US Subpoena in Rituxan Marketing Probe,"Genentech Inc., the world #39;s second- biggest biotechnology company, received a subpoena from the US Attorney #39;s office in Philadelphia as part of a criminal and civil investigation into marketing of its top-selling drug, Rituxan."
3,Pakistan Economy Should Grow 6 Percent,"Pakistan #39;s economy is set to grow more than 6 percent this fiscal year, despite the threat of inflation, a weakening currency and pressure on its balance of payments, a World Bank official said Monday."
4,Fines and Jail Used to Enforce Flu Shot Rules,"As the flu vaccine shortage hits home and long lines queue around the supermarket, a handful of states and the nation's capital are threatening doctors and nurses with fines or even jail if they give flu shots to healthy, low-risk people."
2,Olympic Tennis Champ Massu Ousted in First Round," LYON, France (Reuters) - Top seed Nicolas Massu of Chile  was ousted in the first round of the Lyon Grand Prix, losing  6-3, 6-4 to Argentine Agustin Calleri Tuesday."
3,Some Drug Makers Find That Vaccines Are Good Business,"Some have explained the flu vaccine shortage by saying that the vaccines business holds little allure, but vaccines, it turns out, can make for good business."
2,"Americans early risers, but get rude awakening","BLOOMFIELD TOWNSHIP, Mich. -- Whatever magic they had found in the morning dew yesterday, they lost in the afternoon shadows at Oakland Hills Country Club. And so a heralded US Ryder Cup team finds itself in need of a miracle finish even grander than the one it scripted in 1999."
3,Drug Movers Tip Balance Lower,"Stocks of branded and generic drug makers closed down a bit Tuesday as clinical study results mixed with merger updates. One of the big winners on the day was Nektar Therapeutics, on news that Exubera, the "
2,No mistaking formula,One way to compete with a team whose payroll is more than \$100 million dollars more than yours is to do all you can to make sure you're not going to beat yourself.
3,Kellogg Quarterly Earnings Top Estimates (Reuters),"Reuters - Kellogg Co. , the world's\largest cereal maker, on Monday reported a quarterly profit\that exceeded Wall Street estimates and raised its full-year\earnings outlook, helped by strong sales of new products."
3,T-Mobile adds security measure to hot spots,"com October 5, 2004, 10:57 AM PT. ZDNet #39;s survey of IT professionals in August kept Wired  amp; Wireless on top for the 18th month in a row."
2,"Fans to blame, say Clippers","Talk throughout Staples Center on Saturday, as the Clippers lost to the Houston Rockets, centered around Friday night #39;s melee in Auburn Hills, Mich."
4,Poachers leave bonobo at risk,Humankind's closest relative is facing extinction in the war-torn Democratic Republic of the Congo.
2,Ramirez injured as Red Sox beat Tigers 5-3 for 10th win in 11 &lt;b&gt;...&lt;/b&gt;,"Manny Ramirez banged a ball off his knee. Keith Foulke had a stiff back. Neither was available at the end of the game, and yet the Boston Red Sox keep winning."
2,Fun and games during Premier League clashes,London - There were tears and jeers during Saturday night #39;s English Premier League matches. Here are the match reports... Champions Arsenal bounced back from a disappointing Champions League performance with 
2,Greek jubilation no myth in  #39;Peg,"Despite sluggish ticket sales and a scandal involving their star athletes, members of Winnipeg #39;s Greek community are still thrilled Greece is hosting this year #39;s Olympic Games.  quot;There #39;s a lot of excitement, quot; said Chris Iacovidis, president of the Greek ..."
4,Microsoft Order Pulled by Beijing Amid Focus on Local Products,Beijing #39;s municipal government canceled an order for Microsoft Corp. computer software following official complaints that local governments aren #39;t buying enough domestically-developed software.
3,Golden Times for Golden Arches,"Attitudes toward burgers have changed, and that's good news for McDonald's."
4,Ballmer: Windows TCO the way to go,"In the face of growing competition from Linux, Microsoft CEO Steve Ballmer delivered a four-page memo to customers on Wednesday outlining the economic and security advantages Windows has over Linux, the potential dangers of open source involving "
1,Stocks Dip on Consumer Income Report News,NEW YORK - An unsettling report on consumer incomes set off a spate of profit-taking on Wall Street Monday as investors worried that a tepid economy would erode companies' third-quarter earnings. Another drop in oil prices failed to shake the gloom from the market...
4,Internal Investigation Delays WebMethods' Quarterly SEC Filing,WebMethods Inc. said yesterday it has delayed filing its quarterly financial results because an employee in one of its international subsidiaries has raised concerns about some of its business dealings.
2,Canas thrash Novak,"SHANGHAI, Oct. 2. - Argentinean Guillermo Canas dominated opponent Jiri Novak of the Czech Republic to book his place in the final of the \$380,000 Shanghai Open tennis tournament."
3,"Rates have peaked, says City","A sharp and surprising downturn in Britain #39;s economy made the City predict yesterday that interest rates have peaked, and signs emerged that the higher cost of borrowing is putting the brakes on the housing market and the manufacturing sector."
3,Sirius stock soars on Karmazin addition,"Investors are tuning in to news that the subscription-based programmer has tapped Mel Karmazin, the former Viacom president, to be its new CEO."
1,EU to end Libya arms embargo,"The European Union has agreed to lift an arms embargo on Libya after pressure from Italy, which said the North African country needed better equipment to tackle illegal migrants."
3,India set to get more British jobs,"London, Oct. 11: Britains second-largest general insurance group, Royal  amp; Sun Alliance, is to save 10 million a year by outsourcing 1,100 jobs in call centres, administration and processing to India over the next two years."
2,Spain #39;s new king delivers a dream result,"SEVILLE: Carlos Moya #39;s career has been a rollercoaster journey of ups and downs, but converting the winning point for Spain to land the Davis Cup yesterday represented a high point about which he had long dreamed -- and obsessed."
4,Controlling 'The Sims',"Mental breakdowns and warped childhoods add to the fun in ""The Sims 2,"" creator Will Wright explains."
2,Tributes paid to Belgium #39;s  #39;magic #39; football coach,"The Belgian press paid tribute to Raymond Goethals on Tuesday, describing him as the magician and looking back on his teams many victories."
3,"China to strive for prudent, stable fiscal, monetary policies in &lt;b&gt;...&lt;/b&gt;",BEIJING (AFP) - China #39;s leaders have wrapped up a key economic meeting pledging to strive for stable economic growth next year with an emphasis on quality and efficiency rather than simply a high growth rate.
4,Sun Microsystems Rolls Out Much-Awaited Solaris 10,"Sun Microsystems Inc. (SUNW.O: Quote, Profile, Research) on Sunday introduced the long-awaited next version of its operating system, Solaris 10, which the network "
3,Tax Cut Shrinks Computer Associates Loss (AP),AP - An income tax benefit narrowed Computer Associates International Inc's loss dramatically in the second quarter.
2,AUSSIES OFF TO A FLYER,Australia have all but assured they will remain inh the Davis Cup World Group after opening up a commanding 2-0 lead over injury-hit Morocco on Friday.
2,THECHAT,&lt;em&gt;  Gene Simmons and his tongue came to Richmond International Raceway last weekend to promote three KISS-themed NASCAR vehicles and a line of die-cast collectible replicas.&lt;/em&gt;
3,Contrasts mark economy under Bush,"The gross domestic product is up, but jobs are down. Economists say yes, that is possible. MIAMI - It seems, at first blush, to be a baffling contradiction."
2,Five Keys to the Game,"1. Score early, score often and keep the pressure on. The Rams need to strike early against the Seahawks for many reasons. The crowd will be raucous and an early lead for St."
3,Dollar Dangles Near Multi-Month Lows, TOKYO (Reuters) - The dollar dangled near multi-month lows  on Thursday as a rebound in oil prices aggravated worries about  the outlook for the U.S. economy and its yawning current  account deficit.
3,JUDGE LETS HOLLINGER REFILE AGAINST BLACK,Hollinger International #39;s legal fight against its disgraced former CEO Conrad Black is far from over. Less than a week after a judge dismissed racketeering claims brought 
2,"Mello ousts Fish, gains quarters","Delray Beach  After wondering out loud at times why he couldn #39;t get the ball over the net, Mardy Fish had little reaction the final time he hit one short."
1,Iran wants to exempt centrifuges from nuclear freeze,It wants to be allowed to operate dozens of centrifuges  quot;for research purposes quot; -- an activity banned under a uranium enrichment freeze Iran just agreed to.
1,U.S. Returns Stolen Mexican Altarpiece (AP),AP - The U.S. ambassador formally returned a 300-year-old wooden altarpiece to Mexico on Tuesday that thieves had tried to sell in the United States.
2,Strong start benefits Pavin,A second hole eagle allowed Corey Pavin to card an eight-under-par first round of 62 in the PGA Buick Championship and open up a three shot lead.
1,Egypt hopes for jobs boost as it signs trade deal with Israel and &lt;b&gt;...&lt;/b&gt;,Egypt and Israel signed an agreement on Tuesday that will boost employment and might act as an impetus for other Arab countries to make peace with Israel.
1,Bush lifts economic sanctions on Libya (AFP),"AFP - US President George W. Bush removed most economic sanctions on Libya, clearing the way for huge compensation payments to the families of victims of the 1988 Lockerbie bombing."
3,Pixar Shares Jump to Record High on Results,"Shares of Pixar Animation Studios Inc. on Friday rose to a record high, a day after the company posted a 70 percent quarterly profit increase, driven by strong home video sales for  quot;Finding Nemo quot; and  quot;Monsters, Inc."
3,Three Executives at Marsh Removed in Reorganization,Two of the highest ranking executives of Marsh   McLennan's insurance brokerage business and the company's general counsel were forced out.
3,Consumer Spending Rebounds Sharply,"US consumer spending rebounded sharply July, government data showed on Monday, erasing the disappointment of June and bolstering hopes that the US economy has recovered from its recent soft spot."
4,Yahoo Launches Premium Personals Service (Reuters),"Reuters - Yahoo Inc.  late on\Tuesday launched Personals Premier, a premium online dating\service aimed at attracting serious relationship seekers with\deeper pockets."
1,Palestinians in Israeli Jails Start Hunger Strike (Reuters),"Reuters - Thousands of Palestinian\prisoners in Israeli jails began a hunger strike for better\conditions Sunday, but Israel's security minister said he\didn't care if they starved to death."
3,Georgia makes secret wealth offer,Georgia's new president is offering a tax amnesty for people who hid earnings under the previous regime in an effort to boost the country's crumbling economy.
3,Sold to eBay: Dutch Classified Site,"eBay (Quote, Chart) has acquired a popular online classifieds Web site in the Netherlands, the company said Wednesday. The San Jose, Calif."
3,China Netcom prices IPO and raises \$1.13bn,"China Netcom, the smallest of Chinas four big telecoms carriers, raised US\$1.13 billion from a Hong Kong and New York IPO priced just above the mid-point of its indicated range, sponsor Goldman Sachs said on Wednesday."
1,Israeli killed in ambush,GAZA CITY: Israeli soldiers killed two Palestinian gunmen in Gaza yesterday and Palestinians shot dead an Israeli in the West Bank.
2,BCS sets table for crucial games,"College footballs 3 1/2-month regular season has come down to this: Three critical games. And a couple of critical votes. Unbeaten USC, Oklahoma and Auburn remain 1-2-3 in Mondays Bowl Championship Series "
3,PeopleSoft opens way for Oracle bid by firing chief,"Peoplesoft, the software company under siege from a hostile \$7.7bn (4.3bn) bid by its larger rival Oracle, yesterday sacked its chief executive, Craig Conway, increasing "
2,"Houston tops Atlanta, leads 2-1","Carlos Beltran hit a two-run homer and Brandon Backe pitched six solid innings in his postseason debut as the Houston Astros got their 19th straight home win, 8-5 over Atlanta yesterday for a 2-1 lead in their NL Divisional Playoffs series."
1,Twins Clinch Third Straight Division Title,"CHICAGO - If the Minnesota Twins couldn't win the AL Central title at home, Chicago was the next-best place for a party. Torii Hunter and Corey Koskie each hit a two-run homer in the first inning, and the Twins clinched their third straight division crown on their main rivals' home turf, beating the Chicago White Sox 8-2 Monday night..."
1,Thoughts of How and Why for Yanks,"For the Yankees, the A.L.C.S. was a colossal flop, the kind they had avoided through decades of charmed Octobers."
2,"GOLDBERG ON FOOTBALL: Are the Eagles good, or is everyone else bad &lt;b&gt;...&lt;/b&gt;","The Philadelphia Eagles clinched the NFC East again. Big deal. They did that before the season started. The Eagles have played four games in the division and have outscored the Redskins, Cowboys and Giants by a combined 135-50."
2,An advantage? Good question,"The NFL season has primarily been an exercise in watching the Patriots and Steelers dismantle their opposition on a weekly basis, and then trying to predict which one will blink first and lose home field for a possible playoff game."
3,Treasuries Up as Weak Jobs Ease Rates, NEW YORK (Reuters) - U.S. Treasury debt rallied on Friday  as a weak employment report revived talk the Federal Reserve  might slow the pace of interest rate increases.
1,Insurgents Quit Mosque in Najaf After Peace Deal,"Guerrillas loyal to Moktada al-Sadr ceded control of the holy site to the Grand Ayatollah Ali al-Sistani, but did not give up their guns."
4,Rocket Plane to Attempt Space Flight (AP),AP - A test pilot in a stubby rocket plane will try to climb more than 60 miles over the Mojave Desert and punch through the atmosphere Wednesday in the first stage of a quest to win a  #36;10 million prize meant to encourage space tourism.
3,"Caesars Profit Rises, But Outlook Lags","Caesars Entertainment Inc.(CZR.N: Quote, Profile, Research) on Thursday posted a rise in third-quarter profit as Las Vegas hotels filled up and Atlantic City properties squeaked out a profit that was unexpected by the company."
3,US: Heating Bills Not as High as Feared (Reuters),"Reuters - U.S. consumers still face sharply\higher home heating bills this winter, but prices will be\somewhat lower than earlier feared due to milder weather and\easing prices, the government said on Tuesday."
2,Cubs agree to terms with Garciaparra,"Chicago, IL (Sports Network) - The Chicago Cubs Tuesday agreed to a contract with shortstop Nomar Garciaparra. As per team policy, financial terms of the deal were not disclosed."
4,Solaris 10 Could Brighten Sun,and two days later his company hit another milestone. It released what #39;s easily its most important product in more than nine years.
3,"Borders Profits Up, Outlook Raised","NEW YORK (Reuters) - Borders Group Inc. (BGP.N: Quote, Profile, Research) , the No. 2 US bookseller, on Tuesday said quarterly earnings rose, beating estimates by the company and Wall Street, as a looming presidential election ..."
1,France chooses Forgeard for joint control of EADS (AFP),"AFP - French interests named the head of Airbus, Noel Forgeard, to be one of two new pilots running the European aeronautics and defence group EADS after weeks of reported tension over his role."
4,"Regaining Fury, Hurricane Ivan Churns Toward Cuba","Hurricane Ivan will pass near or over the western tip of Cuba today. The powerful Category Five storm, which has already claimed 65 lives, will bring devastating winds and a potential storm surge of 20 feet (6 meters) or more."
1,Disguised cops did Veerappan in,PTI Dharmapuri/Chennai Oct 19: One of the countrys longest and expensive manhunts ended midnight last night with the killing of dreaded forest brigand Koose Munisamy Veerappan and three of his close associates in a shootout in a trap laid by the 
3,Conoco Wins \$2 Bln Russian LUKOIL Stake, MOSCOW (Reuters) - ConocoPhillips said on Wednesday it was  seeking 20 percent of Russia's LUKOIL in a far-reaching  alliance that opens the way for the oil majors to tap vast  reserves in northern Russia and Iraq.
2,Becks row rumbles on,David Beckham is still in danger of facing disciplinary action for admitting he got booked on purpose - despite Sven-Goran Eriksson #39;s attempts to draw a line under the controversy.
3,KB Toys to Close Up to 238 Stores, NEW YORK (Reuters) - Bankrupt toy seller KB Toys Inc. said  on Tuesday it plans to close 141 to 238 underperforming stores  by the end of January as part of its reorganization effort.
4,Scholar disputes claim in hacking attack,"A visiting scholar whose computer has been linked to a hacker attack at the University of California, Berkeley, released a statement late Friday saying she believed her equipment "
3,Automakers Challenge CA CO 2 Regulation in Court,"As expected, the Alliance of Automobile Manufacturers has joined a group of automobile dealers in Californias Central Valley to file suit against Californias new regulation of CO 2 emissions."
2,Home series defeats for India,"Australia, by winning the third Test at Nagpur on Friday, also won the four-match series 2-0 with one match to go. Australia had last won a Test series in India way back in December 1969 when Bill Lawry #39;s team beat Nawab Pataudi #39;s Indian team 3-1."
4,Pricing Models to Change,A new study released by Macrovision Corporation finds that US software publishers and enterprise software buyers have differing expectations regarding the future of subscription and licensing models.
2,Even Kidd Can #39;t Help Nets Win on Road,"With Jason Kidd back in the lineup, the Nets have demonstrated new life. But LeBron James proved to be a little too much for Kidd and the Nets here Tuesday night."
2,Hackett admits to Athens injury,Olympic 1500m freestyle champion Grant Hackett has revealed that he defended his title in Athens despite suffering from a collapsed lung.
1,Iraqi Rebels Threaten Japanese Hostage,A video posted Tuesday on a militant Islamic Web site in the name of Abu Musab al-Zarqawi #39;s group showed what it claimed was a Japanese captive and threatened to behead him within 
4,South Korea to Pick Country #39;s First 2 Astronauts,"South Korea will pick its first two astronauts next year for a space trip by 2007, the science ministry said Sunday, after Russia agreed to help the country #39;s space program."
4,Access to Tom Ridge or bust,"When Amit Yoran last week became the third cybersecurity chief to leave his post in less than two years, most folks barely noticed."
4,ICQmail To Launch Premium E-Mail Service,"Jennifer Wilson, vice president of marketing and data at e-mail performance management firm Return Path, said there is still plenty of interest in new e-mail services."
2,Jones #39; big day was in the cards,"Kevin Jones decided to stop rushing things a few weeks ago, and it helped him turn in the second-best rushing performance for a Lions rookie running back."
1,Qurei nominated as chief of Palestinian security council,Palestinian Prime Minister Ahmed Qurei was nominated by acting President Rawhi Fattouh as chief of the national security council on Sunday.
2,Manchester United Ends Arsenal's Streak (AP),"AP - Ruud van Nistelrooy's 73rd-minute penalty kick and Wayne Rooney's injury-time goal gave Manchester United a 2-0 victory Sunday over league-leading Arsenal, ending the Gunners' unbeaten league streak at 49 games and moving the Red Devils back into the league chase."
3,FDA Holds Off Approval of New Merck Arthritis Drug, NEW YORK (Reuters) - Merck   Co. on Friday said U.S.  regulators won't approve its experimental arthritis drug  Arcoxia until the company provides more data showing it is safe  and effective.
3,OPEC nations agree to boost daily oil quota,"OPEC nations agreed to revise their oil production quota, boosting it by 1 million barrels per day in an effort to talk down crude oil prices."
4,"For Symbol, the future is at hand","Symbol Technologies Inc. is betting big on a new class of small PCs by introducing a  quot;durable quot; business-based model that sports Internet phone and wireless networking capabilities, plus a bar-code scanner or digital camera."
2,Mears On California Pole,"FONTANA, CA.California native Casey Mears was glad to be home. So glad in fact, he put his No. 41 Dodge on the Busch Series pole position for Saturday #39;s Target House 300 run on the two-mile California Speedway."
2,Utes make their points,"SALT LAKE CITY -- Morgan Scalley returned the opening kickoff 90 yards for a touchdown and Alex Smith threw for three TDs and ran 70 yards for another, leading No. 9 Utah past UNLV, 63-28, last night."
4,Study: 400K Fewer Tech Jobs Since 2001,"The U.S. information tech sector lost 403,300 jobs between March 2001 and April 2004, and the market for tech workers remains bleak, according to a new report."
4,Microsoft Gives Government Access to Office 2003 Code (Update1),"Microsoft Corp., the world #39;s biggest software company, said it will make the source code for its Office 2003 software available as part of a government security program."
4,NASA head will leave successor with much to resolve,The space program Sean O #39;Keefe is leaving behind - probably before the second anniversary of the shuttle accident that will define his tenure - is far different from the agency he stepped into three years ago.
3,"Office Depot Chairman, CEO Nelson Resigns"," NEW YORK (Reuters) - Office Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ODP.N target=/stocks/quickinfo/fullquote""&gt;ODP.N&lt;/A&gt; on Monday  said Chairman and Chief Executive Bruce Nelson has resigned  after the No. 2 U.S. office supply chain determined it needed a  new leader to boost sales and stem a slide in market share."
2,New stars and stripes: US may bench vets to keep Cup,"The single-elimination quarterfinals of the World Cup of Hockey #39;s North American pool start tonight in St. Paul, Minn. And the biggest question remains just which Team USA will show up for "
4,Feds Accused of Exaggerating Fire Impact (AP),"AP - The Forest Service exaggerated the effect of wildfires on California spotted owls in justifying a planned increase in logging in the Sierra Nevada, according to a longtime agency expert who worked on the plan."
1,Strike move in public pension row,Unions consider strike calls over government plans to raise public sector workers' pension age.
2,"Soccer: Even if Hong Kong helps, China #39;s world may end",Brazil #39;s champions are being flown from Europe to compete at high altitude in Ecuador without acclimatization. Iraq is competing against the Palestinian team.
1,Iraqi Group to Decide Journalists' Fate 'Soon',"An Islamic militant group that claimed to have kidnapped two French journalists said it would soon decide their fate and an Iraqi negotiator called the chance for their release ""excellent."""
1,Football legend Clough dies,Former Nottingham Forest and Derby County manager Brian Clough dies aged 69.
3,Eurozone growth slows slightly in second quarter,"Growth in the eurozone economy slowed slightly to 0.5 percent in the second quarter and is set to maintain roughly that pace for the rest of the year, the European Commission said Tuesday."
3,Nortel stock battered by more bad news,"Shares in Nortel Networks Corp. dropped 9 per cent yesterday after the telecom equipment giant, the subject of several Canadian and US accounting probes, hinted that rivals are taking a bite out of its market share."
3,Stocks drop as wholesale prices surge,A huge jump in wholesale prices sent stocks falling yesterday as investors worried that rising oil prices were taking a toll on the overall economy.
1,"Wild Crowds, Gunfire Force Hasty Arafat Burial"," RAMALLAH, West Bank (Reuters) - A chaotic crush of mourners  filling the air with gunfire forced a hasty burial of Yasser  Arafat on Friday in the finale to a tumultuous life as the  trailblazer of Palestinian nationalism."
2,"Davenport, Myskina Win in Filderstadt"," FILDERSTADT, Germany (Reuters) - The top four seeds reached  the semi-finals of the Filderstadt Grand Prix Friday, with only  French Open champion Anastasia Myskina being taken to three  sets."
4,Costly Cloning Isn't a Cure-All,"Therapeutic cloning is both vilified and hailed as the only hope for stem-cell cures. But it may be prohibitively expensive and unnecessary, at least for developing stem-cell therapies. By Kristen Philipkoski."
4,Digital Agenda: Homeland security--A global assault on anonymity (page 3),Cutting-edge data mining and other intelligence tools could redefine privacy as we know it. A News.com special report.
1,UN troops hurt in Haiti violence,Two UN peacekeepers are shot in Haiti over the weekend amid increasing tensions on the island.
4,"XM, Delphi Deliver Handheld Satellite Radio (NewsFactor)",NewsFactor - Satellite radio provider XM Radio has hooked up with hardware\manufacturer Delphi (NYSE: DPH) on a portable device that moves the emerging\entertainment service out of the car and into the hands of users.
3,US agrees to Halliburton inquiry,"The US government will set up an inquiry into Iraq contracts given to Halliburton, the former firm of Vice President Dick Cheney."
1,House Approves  #36;142 Billion Spending Bill (AP),"AP - With the new budget year only weeks away, the House has passed a  #36;142.5 billion spending bill that funds some 500 education, health and job training programs."
1,Murali will take back world record from Warne: Ranatunga (AFP),"AFP - Sri Lanka's World Cup-winning skipper Arjuna Ranatunga has congratulated his old foe Shane Warne on becoming the world's highest Test wicket-taker, but predicted his glory will be short-lived."
3,Airbus Drops Microsoft Ruling Objections," NEW YORK (Reuters) - Airbus has withdrawn its challenge to  a European Union antitrust ruling against Microsoft Corp. only  days after the aircraft maker's intervention became public, the  Wall Street Journal reported on Friday, citing unnamed sources."
2,Bolton beat Liverpool to stand third at the table,Striker Kevin Davies scored late inthe first half to give Bolton Wanderers a 1-0 home win over Liverpool that lifted them into third place in the Premier League on Sunday.
1,Cheney rejects gay marriage ban,US Vice-President Dick Cheney opposes a federal ban on gay marriage - seemingly contradicting George Bush.
1,Strong quake rocks north-east Taiwan,"A strong earthquake in the Pacific Ocean off Taiwan has rocked the island #39;s north-east, damaging buildings and injuring several people, according to officials."
2,Seau worried injujry could end season,"NEW YORK - Frustration was compounded by injury for the Dolphins as Junior Seau, Jason Taylor, Jay Fiedler, Randy McMichael and Marty Booker were among the players who had X-rays or were seen by doctors following the 41-14 loss to the Jets Monday night."
1,Anger rises as does toll in remote Andaman and Nicobar islands (Reuters),Reuters - Tempers flared over the sluggish pace of relief efforts in the remote and restricted Andamans and Nicobars on Sunday as hundreds of bodies lay scattered around the islands a week after the tsunami struck.
4,MSN Re-Ups With Overture Through June 2006,"MSN Thursday extended for one year its partnership with sponsored-search listings provider Overture Services, a Yahoo! subsidiary."
1,British troops on the move in Iraq,Some 850 of Britain #39;s Black Watch troops set out from the southern Iraqi city of Basra Wednesday to replace US troops south of Baghdad.
1,Lebanon al-Qaeda suspect dies,"A suspected al-Qaeda leader arrested in Lebanon last week has died of a heart attack, officials say."
3,E-Mails Provide A Glimpse Into 'Iron Triangle',"""Everyone's nervous,"" Acting Undersecretary of Defense Michael W. Wynne warned in a confidential e-mail to Air Force Secretary James G. Roche on July 8, 2003."
1,The first Guantanamo trials are set to take place,The historic military trials of four al Qaeda suspects are set to get under way at the US military base in Cuba. The Guantanamo Bay cases mark the first time military commissions have been held for more than 50 years.
1,Ukraine Seeks to Control Yushchenko Probe (AP),"AP - Ukraine's outgoing government sought Monday to control the inquiry into the poisoning of presidential candidate Viktor Yushchenko, with officials close to the government taking charge of both investigations into who tried to harm or kill the leader of the ""Orange Revolution."""
4,Nextel to assist U.S. Navy,"Nextel Communications to supply U.S.-based U.S. Navy personnel with cell phones, voice minutes and wireless data plans."
1,Vote observers: access to US polling places difficult (AFP),AFP - An international human rights group said its observers for the 2004 US election found access to polling stations difficult in Florida and Ohio.
4,Absentee Ballots by Email?,"tordia writes  quot;Bruce Schneier has come out against a plan proposed by the Missouri Secretary of State, Matt Blunt. Blunt #39;s proposal would allow  quot;soldiers at remote duty stations or in combat areas cast their "
3,UBS Aquires Schwab Capital Markets Business,"The research operation will be shuttered, sources close to the company said, since UBS already has coverage in the areas where Schwab #39;s Soundview is strong."
4,Celebrities let their Web sites do the talking (USATODAY.com),"USATODAY.com - Britney Spears confided that she was taking a break after years of being pushed by ""advisers."" Melissa Etheridge spoke candidly about her breast cancer. They're  are among stars who are bypassing traditional media and using their Web sites to break news both personal and professional."
